course_id,course_title,price,Free/Paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_,Year,Month,subject,Revenue
599652,48 Logo Designs and Techniques,20,Paid,113,9,48,All Levels,0.98,9,15-09-2015,2015,9,Graphic Design,2260
860656,GraphicDesign Studio,95,Paid,110,9,22,All Levels,0.98,2.5,27-05-2016,2016,5,Graphic Design,10450
513846,７日でマスター  ビギナー向け Adobe Illustrator　どきどきセミナー,20,Paid,108,3,44,Beginner Level,0.98,5.5,19-08-2015,2015,8,Graphic Design,2160
885479,Become a Professional Logo Designer,150,Paid,107,16,82,All Levels,0.98,8,28-06-2016,2016,6,Graphic Design,16050
1182330,Learn Logo Designing: 5 Types of Logo Designs in Illustrator,30,Paid,106,2,19,All Levels,0.98,3,09-05-2017,2017,5,Graphic Design,3180
395652,R Graph Essentials,85,Paid,105,4,41,Intermediate Level,0.98,2,21-01-2015,2015,1,Graphic Design,8925
1249378,AutoCAD Course - Learn Online AutoCAD in Urdu Hindi,0,Free,105,2,22,All Levels,0.98,2,13-06-2017,2017,6,Graphic Design,0
16689,Drawing With Confidence,25,Paid,105,7,10,Beginner Level,0.98,2,04-05-2012,2012,5,Graphic Design,2625
456988,Graphic Design Bootcamp: Professional Workflow & Layout Tips,20,Paid,99,10,9,Beginner Level,0.98,1.5,26-03-2015,2015,3,Graphic Design,1980
651014,Adobe Photoshop (Complete Beginner),200,Paid,98,3,33,All Levels,0.98,2,09-12-2015,2015,12,Graphic Design,19600
789670,Diseño Gráfico fácil y rápido.,20,Paid,97,9,124,All Levels,0.98,13.5,05-07-2016,2016,7,Graphic Design,1940
913768,Illustrator CC 2016 Power Workshops (Deutsch),150,Paid,96,10,50,All Levels,0.98,4.5,25-07-2016,2016,7,Graphic Design,14400
273256,Mind-Blowing Photoshop: Master Skills Season 1,20,Paid,94,3,69,Intermediate Level,0.98,3,08-08-2014,2014,8,Graphic Design,1880
490392,Getting Started with Illustrator CC,100,Paid,92,10,57,Beginner Level,0.98,5.5,01-05-2015,2015,5,Graphic Design,9200
311846,How to Create Vector Characters in Illustrator or Photoshop,25,Paid,92,3,15,Beginner Level,0.98,3.5,02-10-2014,2014,10,Graphic Design,2300
63712,create 9 professional logo design full version,35,Paid,91,3,34,All Levels,0.98,2,23-07-2013,2013,7,Graphic Design,3185
