course_id,course_title,price,Free/Paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_,Year,Month,subject,Revenue
933666,How to play in a local Irish music session with confidence,40,Paid,193,5,8,All Levels,0.07,1,18-08-2016,2016,8,Musical Instruments,7720
42255,Old-Time Banjo for the Absolute Beginner,25,Paid,192,21,17,All Levels,0.3,1.5,12-03-2014,2014,3,Musical Instruments,4800
647276,Acoustic Blues Guitar Lessons,75,Paid,189,18,101,All Levels,0.04,4.5,10-01-2016,2016,1,Musical Instruments,14175
966522,Curso de ejercicios técnicos al piano Vol.1,60,Paid,186,9,24,All Levels,0.11,1.5,30-09-2016,2016,9,Musical Instruments,11160
725906,Piano Lessons For Beginners: Learn Piano Quickly And Easily,75,Paid,186,35,56,Beginner Level,0.54,3,05-02-2016,2016,2,Musical Instruments,13950
876396,Guitar Fretboard Secrets,55,Paid,186,13,35,All Levels,0.54,2,01-12-2016,2016,12,Musical Instruments,10230
615226,"Play Leyenda, Canarios, and Bach on Classical Guitar",195,Paid,185,8,70,Beginner Level,0.76,7.5,05-11-2015,2015,11,Musical Instruments,36075
188498,Advanced Trumpet Studies - Learn to Master the Trumpet!​,50,Paid,184,4,82,All Levels,0.2,4,26-03-2014,2014,3,Musical Instruments,9200
459888,Master the Tuba - Intermediate Instruction Made Simple!,50,Paid,184,5,107,Beginner Level,0.23,8.5,15-04-2015,2015,4,Musical Instruments,9200
175278,How to Design Your Own Guitar,50,Paid,181,34,32,Beginner Level,0.8,5,25-06-2014,2014,6,Musical Instruments,9050
198692,Acoustic Guitar After The Basics,45,Paid,181,17,25,Intermediate Level,0.69,2.5,20-11-2014,2014,11,Musical Instruments,8145
820086,Bass Guitar Lessons For Beginners,95,Paid,180,21,38,Beginner Level,0.55,2.5,26-04-2016,2016,4,Musical Instruments,17100
760300,Blues Guitar Lessons - Volume 2 - Slow Blues Essentials,45,Paid,178,21,11,Intermediate Level,0.49,2,13-02-2016,2016,2,Musical Instruments,8010
459207,Master the Bassoon - Intermediate Instruction Made Simple!,50,Paid,177,3,102,Beginner Level,0.11,7.5,15-04-2015,2015,4,Musical Instruments,8850
459926,Advanced Tuba Studies - Become a Master of the Tuba!​,50,Paid,173,0,63,All Levels,0.89,5,15-04-2015,2015,4,Musical Instruments,8650
