course_id,course_title,price,Free/Paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_,Year,Month,subject,Revenue
1151092,Options Trading - Calendar Spread Course for Every Trader,200,Paid,1113,11,17,Intermediate Level,0.24,1.5,02-04-2017,2017,4,Business Finance,222600
390096,"How to Fund your Million Dollar Idea: Equity, Debt, Unfund",50,Paid,1105,3,54,Beginner Level,0.15,6,11-02-2015,2015,2,Business Finance,55250
334820,Learn to Pick the Right Stock Broker Account,40,Paid,1102,3,14,Beginner Level,0.89,0.566666667,24-12-2014,2014,12,Business Finance,44080
663022,"Investing Internationally into Real Estate, Stocks and Bonds",200,Paid,1101,14,37,Beginner Level,0.69,2,27-01-2016,2016,1,Business Finance,220200
323950,Use the Magic Multiple Moving Average Forex Trading system,50,Paid,1097,252,10,All Levels,0.02,1,08-11-2014,2014,11,Business Finance,54850
599684,Profitable binary option trading strategy,195,Paid,1096,24,24,All Levels,0.01,1.5,29-10-2015,2015,10,Business Finance,213720
884658,Investing in Stocks? Master The Art of Covered Calls Selling,80,Paid,1095,17,35,All Levels,0.34,3,28-07-2016,2016,7,Business Finance,87600
738900,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",200,Paid,1094,8,13,All Levels,0.11,2,30-03-2016,2016,3,Business Finance,218800
895936,Financial Modeling - Build Your Own 3 Statement Projection,20,Paid,1092,48,13,Intermediate Level,0.12,1,05-07-2016,2016,7,Business Finance,21840
1045726,Stock Market investment:Non financial fundamental analysis,125,Paid,1091,4,29,All Levels,0.61,3,20-12-2016,2016,12,Business Finance,136375
712994,Learn Wave accounting to maintain books properly,0,Free,1089,50,27,All Levels,0.47,3,13-01-2016,2016,1,Business Finance,0
1147458,Complete Trading Plan Course for Stocks & Forex (10 Hours),200,Paid,1087,14,61,All Levels,0.3,9.5,23-03-2017,2017,3,Business Finance,217400
737514,Forex Scam: Avoid the scam today,20,Paid,1086,27,28,Beginner Level,0.36,2,05-02-2016,2016,2,Business Finance,21720
885342,Financial Modeling 101,0,Free,1086,37,5,All Levels,0.48,0.616666667,19-12-2016,2016,12,Business Finance,0
1095116,Penny Stocks King: How 2 really Trade Penny Stocks (6 Hours),200,Paid,1085,17,48,All Levels,0.3,6,03-02-2017,2017,2,Business Finance,217000
1105216,Bank Financial Management A Comprehensive Study,50,Paid,1081,6,21,All Levels,0.35,1.5,10-02-2017,2017,2,Business Finance,54050
498488,Your First Successful Forex Trades - With Case Studies,200,Paid,1079,34,16,Beginner Level,0.34,2.5,26-05-2015,2015,5,Business Finance,215800
920604,Intro to Financial Modeling,105,Paid,1077,110,55,Beginner Level,0.48,6,19-08-2016,2016,8,Business Finance,113085
988804,7 Steps: Your Introduction to Trading,25,Paid,1076,22,176,All Levels,0.81,5,04-11-2016,2016,11,Business Finance,26900
145220,1. Principles of Simple Interest,20,Paid,1074,6,13,All Levels,0.15,1,13-01-2014,2014,1,Business Finance,21480
804298,Corporate Finance 101: Equity Valuation,50,Paid,1071,14,50,Beginner Level,0.23,6,29-03-2016,2016,3,Business Finance,53550
1020244,Mental Models For Wall Street - Become A Better Trader,0,Free,1067,50,35,Beginner Level,0.11,2,14-12-2016,2016,12,Business Finance,0
826168,Grundlagen der finanziellen Unabhängigkeit,0,Free,1059,96,9,All Levels,0.89,1.5,21-04-2016,2016,4,Business Finance,0
1062092,Emini ES Futures - Advanced Non Directional Options Trading,200,Paid,1057,15,14,All Levels,0.4,1.5,11-01-2017,2017,1,Business Finance,211400
1105344,Quantitative Aptitude for Banking & Competitive Examinations,50,Paid,1056,1,42,Intermediate Level,0.06,3,09-02-2017,2017,2,Business Finance,52800
258894,How to Read a Balance Sheet,50,Paid,1055,21,64,Beginner Level,0.36,3.5,11-07-2014,2014,7,Business Finance,52750
1134864,Simple things you must know before start FOREX (OFFER),200,Paid,1053,20,15,Beginner Level,0.97,0.733333333,10-03-2017,2017,3,Business Finance,210600
628944,Situational Trading: Proven Option Strategy for any Scenario,200,Paid,1048,11,16,All Levels,0.97,1.5,06-11-2015,2015,11,Business Finance,209600
1085580,"RSI, Options Trading & Technical Analysis (3 Course Bundle)",200,Paid,1047,9,46,All Levels,0.97,3.5,26-01-2017,2017,1,Business Finance,209400
192724,Certificate Program in Financial Accounting,50,Paid,1047,3,20,All Levels,0.97,4.5,24-04-2014,2014,4,Business Finance,52350
761808,Learn About Trading Options from a real wallstreet trader,20,Paid,1046,17,12,All Levels,0.97,1,21-02-2016,2016,2,Business Finance,20920
54677,Revealed: Profitable Principles of Successful Traders,25,Paid,1046,5,26,Beginner Level,0.97,3,19-05-2013,2013,5,Business Finance,26150
1188410,Basics of Mutual Funds for CA / CMA / CS / CFA Exams,125,Paid,1045,2,17,All Levels,0.97,1,24-04-2017,2017,4,Business Finance,130625
700140,Developing A Trading Strategy: Your Guide to Trading Success,20,Paid,1044,8,16,Intermediate Level,0.97,2,17-12-2015,2015,12,Business Finance,20880
