course_id,course_title,price,Free/Paid,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_,Year,Month,subject,Revenue
79154,Back to School Web Development and Programming Bundle,200,Paid,18170,117,779,All Levels,0.4,44.5,19-08-2013,2013,8,Web Development,3634000
99986,Introduction to Web Development,20,Paid,18143,159,15,All Levels,0.67,2,04-10-2013,2013,10,Web Development,362860
582636,Bootstrap unleash the power faster & easier web development,150,Paid,18101,88,68,All Levels,0.74,5.5,14-08-2015,2015,8,Web Development,2715150
652438,The Complete PHP CodeIgniter Course: Beginner To Advanced,195,Paid,17895,212,30,Beginner Level,0.59,4,29-12-2015,2015,12,Web Development,3489525
164554,AngularJS JumpStart with Dan Wahlin,75,Paid,17802,2144,113,Beginner Level,0.02,10,24-03-2014,2014,3,Web Development,1335150
1107524,The Complete NodeJS Course: Build a Full Business Rating App,195,Paid,17784,260,61,Beginner Level,0.48,12.5,13-02-2017,2017,2,Web Development,3467880
963412,Building Websites JavaScript and the DOM,120,Paid,17759,64,37,All Levels,0.14,3,26-09-2016,2016,9,Web Development,2131080
391546,Learn Python and Django: Payment Processing,70,Paid,17714,198,23,All Levels,0.11,3.5,09-02-2015,2015,2,Web Development,1239980
995016,Vue JS 2 - The Complete Guide (incl. Vue Router & Vuex),190,Paid,17671,4675,329,Intermediate Level,0.53,18,08-11-2016,2016,11,Web Development,3357490
516062,JavaScript Intro to learning JavaScript web programming,20,Paid,17554,94,16,All Levels,0.11,1.5,01-06-2015,2015,6,Web Development,351080
639654,How to Make a Single Page Website for Freelancers & Agencies,0,Free,17463,283,30,All Levels,0.18,1.5,15-10-2015,2015,10,Web Development,0
383204,The Professional Ruby on Rails Developer,100,Paid,17334,676,96,All Levels,0.45,17,23-02-2015,2015,2,Web Development,1733400
833442,Angular (Angular 2 or 4) & NodeJS - The MEAN Stack Guide,150,Paid,17297,3166,111,Expert Level,0.15,8.5,02-05-2016,2016,5,Web Development,2594550
30318,Learning JavaScript Programming Tutorial. A Definitive Guide,50,Paid,17113,380,93,Beginner Level,0.24,9.5,26-11-2012,2012,11,Web Development,855650
173134,Adobe Flash for Beginners - Build Flash Website From Scratch,200,Paid,17071,17,15,Intermediate Level,0.76,1.5,01-03-2014,2014,3,Web Development,3414200
983534,Try AngularJS: Beginner's Guide to Front End Web Development,50,Paid,16926,126,33,Beginner Level,0.61,4.5,13-10-2016,2016,10,Web Development,846300
1078522,React JS and Redux - Mastering Web Apps,60,Paid,16829,820,77,All Levels,0.76,5,19-01-2017,2017,1,Web Development,1009740
701636,Learn Web Scraping with Node.js,75,Paid,16731,137,10,All Levels,0.66,1,29-12-2015,2015,12,Web Development,1254825
